ipo_name,listing_date,listing_year,listing_month,issue_price,issue_amount_cr,lot_size,qib_x,nii_x,retail_x,total_x,gmp,gmp_percent,is_mainboard,listing_gain_pct
LGT Business Connextions Ltd.,2025-08-26,2025,8,107,26.68,0,,0.77,2.38,1.58,0,0,0,-23.97
Vikram Solar Ltd.,2025-08-26,2025,8,332,2079.37,0,58.56,52.8,7.77,39.73,0,0,1,7.35
Patel Retail Ltd.,2025-08-26,2025,8,255,242.66,0,109.09,107.9,41.68,78.04,0,0,1,12.82
Studio LSD Ltd.,2025-08-25,2025,8,54,70.53,0,1.0,0.85,4.25,2.87,0,0,0,-23.98
Regaal Resources Ltd.,2025-08-20,2025,8,102,306.0,0,41.34,355.25,55.61,93.42,0,0,1,29.0
Mahendra Realtors & Infrastructure Ltd.,2025-08-20,2025,8,85,46.97,0,43.26,26.97,25.4,26.35,0,0,0,-24.0
BlueStone Jewellery & Lifestyle Ltd.,2025-08-19,2025,8,517,1540.65,0,2.3,0.56,1.32,1.94,0,0,1,5.61
Icodex Publishing Solutions Ltd.,2025-08-19,2025,8,102,39.93,0,33.04,1.18,4.59,3.72,0,0,0,-23.97
ANB Metal Cast Ltd.,2025-08-18,2025,8,156,46.8,0,1.02,2.38,2.37,1.7,0,0,0,10.38
Medistep Healthcare Ltd.,2025-08-18,2025,8,43,15.29,0,,288.67,459.37,374.09,0,0,0,17.09
Star Imaging & Path Lab Ltd.,2025-08-18,2025,8,142,62.65,0,6.03,4.37,2.27,4.41,0,0,0,-4.26
All Time Plastics Ltd.,2025-08-14,2025,8,275,400.6,0,4.76,13.9,5.23,6.28,0,0,1,3.02
Connplex Cinemas Ltd.,2025-08-14,2025,8,177,85.74,0,18.42,49.66,24.47,25.23,0,0,0,5.59
JSW Cement Ltd.,2025-08-14,2025,8,147,3600.0,0,7.3,11.56,1.84,6.03,0,0,1,-0.63
Sawaliya Foods Products Ltd.,2025-08-14,2025,8,120,33.08,0,6.97,20.1,8.76,9.6,0,0,0,99.5
Highway Infrastructure Ltd.,2025-08-12,2025,8,70,130.0,0,170.38,471.09,159.72,256.33,0,0,1,72.5
Bhadora Industries Ltd.,2025-08-11,2025,8,103,52.8,0,1.3,1.27,0.96,1.18,0,0,0,2.86
Parth Electricals & Engineering Ltd.,2025-08-11,2025,8,170,47.18,0,7.71,44.01,20.05,17.08,0,0,0,7.47
Jyoti Global Plast Ltd.,2025-08-11,2025,8,66,33.66,0,1.64,12.96,9.4,6.07,0,0,0,-0.3
Aaradhya Disposal Industries Ltd.,2025-08-11,2025,8,116,42.85,0,1.17,1.39,1.44,1.4,0,0,0,0.47
BLT Logistics Ltd.,2025-08-11,2025,8,75,9.01,0,33.05,1016.1,628.46,390.27,0,0,0,27.32
Essex Marine Ltd.,2025-08-11,2025,8,54,21.86,0,,0.88,4.91,2.89,0,0,0,-24.0
Flysbs Aviation Ltd.,2025-08-08,2025,8,225,97.36,0,78.37,563.17,282.38,222.62,0,0,0,99.49
Cash Ur Drive Marketing Ltd.,2025-08-07,2025,8,130,57.42,0,31.42,135.2,61.96,57.72,0,0,0,21.12
Renol Polychem Ltd.,2025-08-07,2025,8,105,24.2,0,4.87,6.88,6.01,5.82,0,0,0,-5.0
Sri Lotus Developers & Realty Ltd.,2025-08-06,2025,8,150,792.0,0,70.76,61.53,21.13,51.87,0,0,1,30.45
M&B Engineering Ltd.,2025-08-06,2025,8,385,650.0,0,15.98,40.18,33.54,21.3,0,0,1,6.14
B.D.Industries (Pune) Ltd.,2025-08-06,2025,8,108,43.03,0,1.11,3.65,1.29,1.55,0,0,0,0.14
Mehul Colours Ltd.,2025-08-06,2025,8,72,20.56,0,6.39,11.2,3.51,6.1,0,0,0,19.49
Takyon Networks Ltd.,2025-08-06,2025,8,54,19.44,0,5.91,37.08,19.9,15.58,0,0,0,3.19
National Securities Depository Ltd.,2025-08-06,2025,8,800,4010.95,0,42.15,34.75,7.43,28.84,0,0,1,17.0
Laxmi India Finance Ltd.,2025-08-05,2025,8,158,254.26,0,1.47,1.82,2.17,1.76,0,0,1,-15.12
Aditya Infotech Ltd.,2025-08-05,2025,8,675,1300.0,0,56.7,75.52,52.56,58.82,0,0,1,60.39
Kaytex Fabrics Ltd.,2025-08-05,2025,8,180,66.31,0,13.04,43.16,47.46,31.99,0,0,0,-16.33
Repono Ltd.,2025-08-04,2025,8,96,25.34,0,12.14,107.04,67.74,45.84,0,0,0,-9.28
Umiya Mobile Ltd.,2025-08-04,2025,8,66,23.63,0,,2.53,2.59,2.56,0,0,0,4.21
Shanti Gold International Ltd.,2025-08-01,2025,8,199,360.11,0,47.35,151.49,30.42,57.04,0,0,1,15.27
Sellowrap Industries Ltd.,2025-08-01,2025,8,83,28.76,0,8.25,118.09,70.25,46.58,0,0,0,13.86
Shree Refrigerations Ltd.,2025-08-01,2025,8,125,111.44,0,67.61,273.03,169.85,134.24,0,0,0,40.32
Patel Chem Specialities Ltd.,2025-08-01,2025,8,84,55.83,0,43.21,237.18,174.53,118.4,0,0,0,24.4
Brigade Hotel Ventures Ltd.,2025-07-31,2025,7,90,759.6,0,2.9,10.1,6.59,4.26,0,0,1,-5.2
Indiqube Spaces Ltd.,2025-07-30,2025,7,237,700.0,0,6.68,8.62,13.41,7.63,0,0,1,-8.03
GNG Electronics Ltd.,2025-07-30,2025,7,237,460.43,0,110.35,237.44,48.2,107.66,0,0,1,40.67
TSC India Ltd.,2025-07-30,2025,7,70,24.58,0,1.0,289.43,66.44,67.32,0,0,0,2.0
Monarch Surveyors & Engineering Consultants Ltd.,2025-07-29,2025,7,250,88.58,0,72.47,318.67,266.3,177.37,0,0,0,60.08
Swastika Castal Ltd.,2025-07-28,2025,7,65,13.35,0,,2.44,7.88,5.16,0,0,0,2.8
Savy Infra & Logistics Ltd.,2025-07-28,2025,7,120,66.47,0,38.19,193.85,91.36,80.17,0,0,0,19.42
Monika Alcobev Ltd.,2025-07-23,2025,7,286,153.68,0,1.62,8.87,2.91,3.16,0,0,0,0.7
Anthem Biosciences Ltd.,2025-07-21,2025,7,570,3395.0,0,77.87,43.67,5.74,47.37,0,0,1,28.13
Spunweb Nonwoven Ltd.,2025-07-21,2025,7,96,57.89,0,66.88,362.92,247.46,174.81,0,0,0,65.16
Smartworks Coworking Spaces Ltd.,2025-07-17,2025,7,407,582.56,0,10.59,23.63,3.59,10.03,0,0,1,9.35
Asston Pharmaceuticals Ltd.,2025-07-16,2025,7,123,26.17,0,34.88,348.79,171.52,130.28,0,0,0,1.59
GLEN Industries Ltd.,2025-07-15,2025,7,97,59.79,0,77.58,476.3,220.87,183.13,0,0,0,57.08
Travel Food Services Ltd.,2025-07-14,2025,7,1100,2000.0,0,3.83,1.62,0.69,2.4,0,0,1,-2.29
Smarten Power Systems Ltd.,2025-07-14,2025,7,100,47.5,0,,6.23,4.66,5.45,0,0,0,51.2
Chemkart India Ltd.,2025-07-14,2025,7,248,75.96,0,6.09,5.63,1.6,4.44,0,0,0,4.62
Meta Infotech Ltd.,2025-07-11,2025,7,161,76.09,0,60.64,305.8,120.07,117.0,0,0,0,46.74
Happy Square Outsourcing Services Ltd.,2025-07-10,2025,7,76,22.06,0,3.46,2.24,2.08,2.79,0,0,0,6.38
Cryogenic OGS Ltd.,2025-07-10,2025,7,47,16.88,0,85.66,1157.34,767.67,486.12,0,0,0,99.49
Crizac Ltd.,2025-07-09,2025,7,245,860.0,0,57.16,79.49,10.54,44.19,0,0,1,25.56
Vandan Foods Ltd.,2025-07-07,2025,7,115,28.84,0,,0.41,2.66,1.53,0,0,0,3.26
Marc Loire Fashions Ltd.,2025-07-07,2025,7,100,19.94,0,,1.57,3.46,2.52,0,0,0,-24.0
Cedaar Textile Ltd.,2025-07-07,2025,7,140,57.85,0,15.67,5.03,9.62,10.06,0,0,0,-19.25
Pushpa Jewellers Ltd.,2025-07-07,2025,7,147,93.71,0,1.13,2.15,3.75,2.2,0,0,0,-20.0
Silky Overseas Ltd.,2025-07-07,2025,7,161,25.63,0,25.77,430.1,117.43,118.63,0,0,0,0.9
Neetu Yoshi Ltd.,2025-07-04,2025,7,75,73.14,0,39.63,255.17,90.14,89.71,0,0,0,47.0
Adcounty Media India Ltd.,2025-07-04,2025,7,85,47.83,0,55.51,555.8,226.06,190.36,0,0,0,60.59
Indogulf Cropsciences Ltd.,2025-07-03,2025,7,111,200.0,0,1.95,50.72,15.33,13.5,0,0,1,-0.59
Moving Media Entertainment Ltd.,2025-07-03,2025,7,70,32.91,0,22.68,124.54,61.12,51.43,0,0,0,6.5
Valencia India Ltd.,2025-07-03,2025,7,110,46.49,0,1.28,0.98,1.04,1.05,0,0,0,-24.0
Ace Alpha Tech Ltd.,2025-07-03,2025,7,69,30.4,0,27.4,170.82,90.97,71.23,0,0,0,23.26
PRO FX Tech Ltd.,2025-07-03,2025,7,87,38.21,0,9.41,56.37,14.03,18.08,0,0,0,14.66
Sambhv Steel Tubes Ltd.,2025-07-02,2025,7,82,540.0,0,27.26,33.62,8.35,21.49,0,0,1,19.01
HDB Financial Services Ltd.,2025-07-02,2025,7,740,12500.0,0,24.05,10.24,1.43,13.07,0,0,1,13.64
Rama Telecom Ltd.,2025-07-02,2025,7,68,23.87,0,1.0,1.66,1.78,1.59,0,0,0,0.59
Suntech Infra Solutions Ltd.,2025-07-02,2025,7,86,42.16,0,49.5,529.74,150.8,157.08,0,0,0,20.7
Supertech EV Ltd.,2025-07-02,2025,7,92,28.39,0,1.0,1.7,6.79,4.09,0,0,0,-24.0
Abram Food Ltd.,2025-07-01,2025,7,98,13.29,0,,16.41,40.94,28.68,0,0,0,-3.14
Globe Civil Projects Ltd.,2025-07-01,2025,7,71,119.0,0,40.66,142.1,52.61,60.06,0,0,1,33.04
Ellenbarrie Industrial Gases Ltd.,2025-07-01,2025,7,400,852.53,0,25.92,15.54,2.14,16.04,0,0,1,33.65
Kalpataru Ltd.,2025-07-01,2025,7,414,1590.0,0,1.93,1.39,1.35,1.78,0,0,1,4.58
Icon Facilitators Ltd.,2025-07-01,2025,7,91,18.15,0,2.18,0.67,3.83,2.24,0,0,0,-6.04
AJC Jewel Manufacturers Ltd.,2025-07-01,2025,7,95,14.59,0,2.03,1.79,2.8,2.26,0,0,0,0.41
Shri Hare-Krishna Sponge Iron Ltd.,2025-07-01,2025,7,59,28.39,0,4.92,10.32,3.07,5.08,0,0,0,9.41
Aakaar Medical Technologies Ltd.,2025-06-27,2025,6,72,25.64,0,2.34,1.47,1.87,2.04,0,0,0,-1.04
Safe Enterprises Retail Fixtures Ltd.,2025-06-27,2025,6,138,161.13,0,1.0,12.42,4.46,3.93,0,0,0,14.89
Mayasheel Ventures Ltd.,2025-06-27,2025,6,47,25.92,0,39.93,713.41,102.47,162.97,0,0,0,29.57
Arisinfra Solutions Ltd.,2025-06-25,2025,6,222,499.6,0,1.2,3.07,5.98,1.96,0,0,1,-21.45
Influx Healthtech Ltd.,2025-06-25,2025,6,96,55.63,0,55.2,484.63,116.31,141.07,0,0,0,31.46
Eppeltone Engineers Ltd.,2025-06-24,2025,6,128,41.75,0,53.73,626.61,244.01,206.4,0,0,0,99.49
Patil Automation Ltd.,2025-06-23,2025,6,120,66.1,0,33.77,258.58,43.81,71.03,0,0,0,35.62
Samay Project Services Ltd.,2025-06-23,2025,6,34,13.91,0,9.96,69.09,14.92,20.91,0,0,0,5.88
Oswal Pumps Ltd.,2025-06-20,2025,6,614,1387.34,0,35.89,38.19,3.59,24.93,0,0,1,1.85
Aten Papers & Foam Ltd.,2025-06-20,2025,6,96,30.09,0,2.91,0.66,2.05,1.43,0,0,0,-10.94
Monolithisch India Ltd.,2025-06-19,2025,6,143,77.91,0,52.31,462.24,92.37,127.88,0,0,0,70.0
Jainik Power Cables Ltd.,2025-06-17,2025,6,110,48.72,0,0.53,0.52,2.01,1.19,0,0,0,-24.68
Sacheerome Ltd.,2025-06-16,2025,6,102,58.53,0,69.25,809.68,176.97,218.15,0,0,0,57.4
Ganga Bath Fittings Ltd.,2025-06-11,2025,6,49,31.0,0,2.22,0.71,2.44,1.59,0,0,0,14.39
3B Films Ltd.,2025-06-06,2025,6,50,32.04,0,,0.86,2.31,1.58,0,0,0,-7.84
Scoda Tubes Ltd.,2025-06-04,2025,6,140,220.0,0,30.23,122.2,20.23,40.52,0,0,1,5.0
N R Vandana Tex Industries Ltd.,2025-06-04,2025,6,45,26.49,0,15.18,235.03,79.55,70.81,0,0,0,-2.89
Neptune Petrochemicals Ltd.,2025-06-04,2025,6,122,69.54,0,1.0,4.44,2.22,1.95,0,0,0,14.22
Prostarm Info Systems Ltd.,2025-06-03,2025,6,105,168.0,0,41.8,222.75,38.12,67.65,0,0,1,20.0
Blue Water Logistics Ltd.,2025-06-03,2025,6,135,38.39,0,6.45,9.86,6.53,7.0,0,0,0,9.67
Astonea Labs Ltd.,2025-06-03,2025,6,135,35.72,0,1.36,5.59,1.64,2.1,0,0,0,0.48
Nikita Papers Ltd.,2025-06-03,2025,6,104,64.15,0,0.81,0.72,1.8,1.24,0,0,0,-13.03
Aegis Vopak Terminals Ltd.,2025-06-02,2025,6,235,2800.0,0,1.97,0.64,0.78,1.66,0,0,1,2.98
Schloss Bangalore Ltd.,2025-06-02,2025,6,435,3500.0,0,3.74,1.06,0.83,3.05,0,0,1,0.13
Unified Data-Tech Solutions Ltd.,2025-05-29,2025,5,273,137.17,0,21.34,213.03,42.76,49.24,0,0,0,9.62
Belrise Industries Ltd.,2025-05-28,2025,5,90,2150.0,0,0.98,40.78,4.4,8.15,0,0,1,8.23
Dar Credit & Capital Ltd.,2025-05-28,2025,5,60,24.36,0,13.11,208.23,103.44,74.07,0,0,0,6.58
Borana Weaves Ltd.,2025-05-27,2025,5,216,144.89,0,35.27,237.23,192.74,81.31,0,0,1,18.13
Accretion Pharmaceuticals Ltd.,2025-05-21,2025,5,101,28.26,0,1.02,4.22,10.29,6.47,0,0,0,-17.87
Integrity Infrabuild Developers Ltd.,2025-05-20,2025,5,100,11.33,0,,2.08,2.22,2.15,0,0,0,3.5
Virtual Galaxy Infotech Ltd.,2025-05-19,2025,5,142,88.52,0,53.11,592.06,133.6,163.65,0,0,0,33.1
Manoj Jewellers Ltd.,2025-05-12,2025,5,54,15.38,0,,1.28,0.96,1.12,0,0,0,-0.43
Srigee DLM Ltd.,2025-05-12,2025,5,99,16.12,0,55.75,1533.54,238.33,343.18,0,0,0,99.49
Kenrik Industries Ltd.,2025-05-09,2025,5,25,8.3,0,,0.2,3.59,1.9,0,0,0,5.04
Arunaya Organics Ltd.,2025-05-07,2025,5,58,32.27,0,1.0,1.17,4.25,2.37,0,0,0,-45.52
Iware Supplychain Services Ltd.,2025-05-06,2025,5,95,25.76,0,,2.68,3.25,2.97,0,0,0,-14.84
Ather Energy Ltd.,2025-05-06,2025,5,321,2980.76,0,1.3,0.68,1.76,1.26,0,0,1,-5.83
Tankup Engineers Ltd.,2025-04-30,2025,4,140,18.55,0,18.1,437.65,45.91,88.53,0,0,0,31.25
Spinaroo Commercial Ltd.,2025-04-08,2025,4,51,9.66,0,,1.84,1.17,1.5,0,0,0,6.75
Infonative Solutions Ltd.,2025-04-08,2025,4,79,23.47,0,18.57,1.61,3.61,3.94,0,0,0,-24.0
Retaggio Industries Ltd.,2025-04-07,2025,4,25,14.09,0,,1.15,2.5,1.83,0,0,0,0.8
Identixweb Ltd.,2025-04-03,2025,4,54,15.8,0,5.18,73.46,14.18,18.6,0,0,0,6.94
Shri Ahimsa Naturals Ltd.,2025-04-02,2025,4,119,70.1,0,9.11,183.01,35.15,44.42,0,0,0,23.53
ATC Energies System Ltd.,2025-04-02,2025,4,118,60.56,0,0.78,0.8,2.43,1.27,0,0,0,-13.86
Desco Infratech Ltd.,2025-04-01,2025,4,150,29.15,0,12.13,233.28,50.09,58.99,0,0,0,12.0
Rapid Fleet Management Services Ltd.,2025-03-28,2025,3,192,35.77,0,1.03,4.38,0.8,1.45,0,0,0,4.64
Active Infrastructures Ltd.,2025-03-28,2025,3,181,73.92,0,1.0,1.66,0.57,1.05,0,0,0,-2.98
Grand Continent Hotels Ltd.,2025-03-27,2025,3,113,70.73,0,1.77,1.72,1.27,1.59,0,0,0,-5.09
Paradeep Parivahan Ltd.,2025-03-24,2025,3,98,39.01,0,1.13,2.63,1.58,1.51,0,0,0,-16.0
Divine Hira Jewellers Ltd.,2025-03-24,2025,3,90,30.24,0,,1.19,6.57,3.88,0,0,0,-5.0
Super Iron Foundry Ltd.,2025-03-19,2025,3,108,64.64,0,,5.31,6.4,5.86,0,0,0,-5.0
PDP Shipping & Projects Ltd.,2025-03-18,2025,3,135,12.02,0,,0.14,1.8,1.0,0,0,0,-23.81
NAPS Global India Ltd.,2025-03-11,2025,3,90,11.23,0,,1.16,1.15,1.16,0,0,0,14.0
Balaji Phosphates Ltd.,2025-03-07,2025,3,70,47.6,0,1.19,1.31,1.03,1.16,0,0,0,6.21
Shreenath Paper Products Ltd.,2025-03-05,2025,3,44,22.12,0,,0.52,3.07,1.8,0,0,0,-24.0
Nukleus Office Solutions Ltd.,2025-03-04,2025,3,234,23.67,0,,0.87,1.68,1.28,0,0,0,-16.0
Beezaasan Explotech Ltd.,2025-03-03,2025,3,175,56.85,0,5.24,4.64,2.21,4.09,0,0,0,-12.4
HP Telecom India Ltd.,2025-02-28,2025,2,108,32.5,0,,1.97,1.85,1.91,0,0,0,6.53
Swasth Foodtech India Ltd.,2025-02-28,2025,2,94,14.17,0,,2.53,12.27,7.4,0,0,0,-5.0
Quality Power Electrical Equipments Ltd.,2025-02-24,2025,2,425,858.7,0,1.01,0.77,1.72,1.05,0,0,1,-8.73
Royal Arc Electrodes Ltd.,2025-02-24,2025,2,120,34.16,0,1.0,1.0,2.12,1.4,0,0,0,1.08
Tejas Cargo India Ltd.,2025-02-24,2025,2,168,100.54,0,1.26,1.07,1.08,1.17,0,0,0,0.0
L.K.Mehta Polymers Ltd.,2025-02-21,2025,2,71,7.0,0,,44.22,44.07,44.14,0,0,0,-3.82
Shanmuga Hospital Ltd.,2025-02-21,2025,2,54,19.58,0,,0.6,4.26,2.43,0,0,0,-5.0
P S Raj Steels Ltd.,2025-02-19,2025,2,140,26.87,0,1.08,21.36,9.95,7.17,0,0,0,7.57
Hexaware Technologies Ltd.,2025-02-19,2025,2,708,8750.0,0,4.42,0.21,0.1,2.25,0,0,1,7.7
Voler Car Ltd.,2025-02-19,2025,2,90,25.08,0,1.27,18.52,13.75,8.24,0,0,0,1.61
Maxvolt Energy Industries Ltd.,2025-02-19,2025,2,180,51.26,0,3.31,1.45,1.95,2.55,0,0,0,0.5
Chandan Healthcare Ltd.,2025-02-17,2025,2,159,101.88,0,3.95,18.86,2.52,5.48,0,0,0,9.03
Ajax Engineering Ltd.,2025-02-17,2025,2,629,1268.93,0,6.46,6.41,1.89,4.84,0,0,1,-5.34
Eleganz Interiors Ltd.,2025-02-14,2025,2,130,74.15,0,10.38,60.37,21.24,21.69,0,0,0,-10.73
Readymix Construction Machinery Ltd.,2025-02-13,2025,2,123,35.77,0,2.04,4.77,4.25,3.22,0,0,0,-5.0
Solarium Green Energy Ltd.,2025-02-13,2025,2,191,99.56,0,4.38,18.03,4.92,6.62,0,0,0,10.94
Ken Enterprises Ltd.,2025-02-12,2025,2,94,79.47,0,,4.27,4.26,4.27,0,0,0,-14.1
Amwill Health Care Ltd.,2025-02-12,2025,2,111,56.97,0,7.8,5.65,4.63,5.67,0,0,0,-15.99
Chamunda Electrical Ltd.,2025-02-11,2025,2,50,13.77,0,61.85,1946.07,540.04,512.83,0,0,0,33.0
Malpani Pipes & Fittings Ltd.,2025-02-04,2025,2,90,24.61,0,24.59,343.91,110.57,103.35,0,0,0,-6.62
Dr.Agarwal's Health Care Ltd.,2025-02-04,2025,2,402,3027.26,0,2.48,0.37,0.39,1.39,0,0,1,-0.09
GB Logistics Commerce Ltd.,2025-01-31,2025,1,102,23.81,0,11.59,540.07,120.6,129.1,0,0,0,-19.85
H.M.Electro Mech Ltd.,2025-01-31,2025,1,75,26.35,0,8.01,184.66,97.88,66.03,0,0,0,2.72
CLN Energy Ltd.,2025-01-30,2025,1,250,68.4,0,1.03,8.56,6.26,3.99,0,0,0,1.66
Rexpro Enterprises Ltd.,2025-01-29,2025,1,145,50.95,0,,17.65,17.63,17.63,0,0,0,-23.34
Denta Water & Infra Solutions Ltd.,2025-01-29,2025,1,294,220.5,0,94.71,505.15,89.36,154.4,0,0,1,16.07
CapitalNumbers Infotech Ltd.,2025-01-27,2025,1,263,160.69,0,49.58,298.3,74.28,95.54,0,0,0,-0.63
EMA Partners India Ltd.,2025-01-24,2025,1,124,72.21,0,60.04,444.33,165.92,154.8,0,0,0,19.92
Landmark Immigration Consultants Ltd.,2025-01-23,2025,1,72,38.27,0,21.49,97.04,80.8,61.05,0,0,0,4.26
Stallion India Fluorochemicals Ltd.,2025-01-23,2025,1,90,199.45,0,69.58,424.11,94.51,131.49,0,0,1,40.0
Kabra Jewels Ltd.,2025-01-22,2025,1,128,36.29,0,61.42,560.87,390.75,251.82,0,0,0,99.49
Rikhav Securities Ltd.,2025-01-22,2025,1,86,84.31,0,68.9,611.4,197.91,196.18,0,0,0,99.48
Barflex Polyfilms Ltd.,2025-01-20,2025,1,60,37.4,0,32.0,371.06,97.97,106.0,0,0,0,5.0
Laxmi Dental Ltd.,2025-01-20,2025,1,428,698.06,0,44.6,147.44,75.35,63.1,0,0,1,28.63
Sat Kartar Shopping Ltd.,2025-01-17,2025,1,81,31.91,0,51.47,810.78,262.48,239.46,0,0,0,99.44
Avax Apparels & Ornaments Ltd.,2025-01-14,2025,1,70,1.82,0,,148.71,369.15,266.41,0,0,0,99.5
Quadrant Future Tek Ltd.,2025-01-14,2025,1,290,290.0,0,56.72,265.68,256.63,108.05,0,0,1,53.1
Delta Autocorp Ltd.,2025-01-14,2025,1,130,50.78,0,72.97,622.22,310.65,238.75,0,0,0,28.65
B.R.Goyal Infrastructure Ltd.,2025-01-14,2025,1,135,80.95,0,28.63,256.73,87.27,82.87,0,0,0,5.56
Standard Glass Lining Technology Ltd.,2025-01-13,2025,1,140,410.05,0,131.6,273.52,65.72,129.83,0,0,1,16.68
Indobell Insulations Ltd.,2025-01-13,2025,1,46,9.63,0,,56.09,54.67,55.38,0,0,0,99.5
Fabtech Technologies Cleanrooms Ltd.,2025-01-10,2025,1,85,26.34,0,1.47,1473.53,725.33,476.37,0,0,0,99.49
Davin Sons Retail Ltd.,2025-01-09,2025,1,55,8.34,0,,76.86,161.52,119.19,0,0,0,-16.0
Parmeshwar Metal Ltd.,2025-01-09,2025,1,61,23.49,0,71.82,1203.92,595.46,425.12,0,0,0,45.44
Leo Dryfruits & Spices Trading Ltd.,2025-01-08,2025,1,52,23.84,0,58.55,394.45,155.15,144.49,0,0,0,37.23
